ID;Categoria;Credito;Entrada;Prazo;Parcela;Administradora;Fundo;Taxa;Seguro;Pago;Disponibilidade;Link_Whats
9243;Imóvel;R$ 530.408,33;R$ 267.200,00;145;R$ 3.927,83;HS;-;R$ 7.577,26;R$ 313,24;R$ 76.475,20;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209243%29%20com%20Cr%C3%A9dito%20de%20R%24%20530.408%2C33%20e%20Entrada%20de%20R%24%20267.200%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9433;Imóvel;R$ 523.679,12;R$ 255.402,00;200;R$ 3.447,56;HS;-;R$ 7.481,13;R$ 379,23;R$ 2.070,15;Disponível;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209433%29%20com%20Cr%C3%A9dito%20de%20R%24%20523.679%2C12%20e%20Entrada%20de%20R%24%20255.402%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9246;Imóvel;R$ 516.156,87;R$ 249.530,00;169;R$ 3.648,28;HS;-;R$ 7.373,67;R$ 339,11;R$ 51.714,48;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209246%29%20com%20Cr%C3%A9dito%20de%20R%24%20516.156%2C87%20e%20Entrada%20de%20R%24%20249.530%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
6071;Imóvel;R$ 500.000,00;R$ 245.000,00;219;R$ 2.801,83;HS;-;R$ 7.142,86;R$ 337,48;R$ 1.397,50;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%206071%29%20com%20Cr%C3%A9dito%20de%20R%24%20500.000%2C00%20e%20Entrada%20de%20R%24%20245.000%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9422;Imóvel;R$ 499.972,39;R$ 245.000,00;218;R$ 2.801,79;HS;-;R$ 7.142,46;R$ 335,93;R$ 1.397,50;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209422%29%20com%20Cr%C3%A9dito%20de%20R%24%20499.972%2C39%20e%20Entrada%20de%20R%24%20245.000%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9163;Imóvel;R$ 497.464,03;R$ 243.760,00;214;R$ 2.821,46;HS;-;R$ 7.106,63;R$ 332,09;R$ 5.590,00;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209163%29%20com%20Cr%C3%A9dito%20de%20R%24%20497.464%2C03%20e%20Entrada%20de%20R%24%20243.760%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9151;Imóvel;R$ 490.668,76;R$ 238.900,00;190;R$ 3.120,04;HS;-;R$ 7.009,55;R$ 326,04;R$ 45.938,59;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209151%29%20com%20Cr%C3%A9dito%20de%20R%24%20490.668%2C76%20e%20Entrada%20de%20R%24%20238.900%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
8069;Imóvel;R$ 487.664,62;R$ 234.870,00;174;R$ 3.590,57;HS;-;R$ 6.966,64;R$ 343,62;R$ 7.614,85;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%208069%29%20com%20Cr%C3%A9dito%20de%20R%24%20487.664%2C62%20e%20Entrada%20de%20R%24%20234.870%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9386;Imóvel;R$ 487.293,79;R$ 238.773,00;185;R$ 3.175,07;HS;-;R$ 6.961,34;R$ 323,06;R$ 51.486,03;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209386%29%20com%20Cr%C3%A9dito%20de%20R%24%20487.293%2C79%20e%20Entrada%20de%20R%24%20238.773%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9485;Imóvel;R$ 482.855,05;R$ 235.974,00;190;R$ 3.344,70;HS;-;R$ 6.897,93;R$ 349,52;R$ 2.175,80;Disponível;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209485%29%20com%20Cr%C3%A9dito%20de%20R%24%20482.855%2C05%20e%20Entrada%20de%20R%24%20235.974%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9488;Imóvel;R$ 463.552,89;R$ 277.800,00;90;R$ 3.848,93;HS;-;R$ 6.622,18;R$ 190,52;R$ 283.412,80;Disponível;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209488%29%20com%20Cr%C3%A9dito%20de%20R%24%20463.552%2C89%20e%20Entrada%20de%20R%24%20277.800%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9490;Imóvel;R$ 426.243,38;R$ 208.860,00;166;R$ 2.856,81;HS;-;R$ 6.089,19;R$ 260,83;R$ 78.089,16;Disponível;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209490%29%20com%20Cr%C3%A9dito%20de%20R%24%20426.243%2C38%20e%20Entrada%20de%20R%24%20208.860%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9362;Imóvel;R$ 422.238,00;R$ 206.896,00;208;R$ 2.620,88;HS;-;R$ 6.031,97;R$ 299,83;R$ 15.902,90;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209362%29%20com%20Cr%C3%A9dito%20de%20R%24%20422.238%2C00%20e%20Entrada%20de%20R%24%20206.896%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9419;Imóvel;R$ 421.544,22;R$ 205.590,00;171;R$ 2.827,61;HS;-;R$ 6.022,06;R$ 265,94;R$ 64.612,02;Disponível;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209419%29%20com%20Cr%C3%A9dito%20de%20R%24%20421.544%2C22%20e%20Entrada%20de%20R%24%20205.590%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9261;Imóvel;R$ 415.997,12;R$ 203.100,00;169;R$ 2.985,90;HS;-;R$ 5.942,82;R$ 277,54;R$ 51.484,08;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209261%29%20com%20Cr%C3%A9dito%20de%20R%24%20415.997%2C12%20e%20Entrada%20de%20R%24%20203.100%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9051;Imóvel;R$ 415.993,81;R$ 201.680,00;179;R$ 2.683,17;HS;-;R$ 5.942,77;R$ 264,16;R$ 57.181,10;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209051%29%20com%20Cr%C3%A9dito%20de%20R%24%20415.993%2C81%20e%20Entrada%20de%20R%24%20201.680%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9274;Imóvel;R$ 415.610,05;R$ 200.920,00;193;R$ 2.753,77;HS;-;R$ 5.937,29;R$ 292,31;R$ 9.017,46;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209274%29%20com%20Cr%C3%A9dito%20de%20R%24%20415.610%2C05%20e%20Entrada%20de%20R%24%20200.920%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9425;Imóvel;R$ 414.925,63;R$ 202.362,00;177;R$ 2.854,94;HS;-;R$ 5.927,51;R$ 277,93;R$ 39.829,53;Disponível;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209425%29%20com%20Cr%C3%A9dito%20de%20R%24%20414.925%2C63%20e%20Entrada%20de%20R%24%20202.362%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9343;Imóvel;R$ 412.984,52;R$ 202.362,00;178;R$ 2.801,88;HS;-;R$ 5.899,78;R$ 274,30;R$ 45.411,91;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209343%29%20com%20Cr%C3%A9dito%20de%20R%24%20412.984%2C52%20e%20Entrada%20de%20R%24%20202.362%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9400;Imóvel;R$ 410.295,29;R$ 200.906,00;168;R$ 2.570,62;HS;-;R$ 5.861,36;R$ 237,53;R$ 144.602,29;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209400%29%20com%20Cr%C3%A9dito%20de%20R%24%20410.295%2C29%20e%20Entrada%20de%20R%24%20200.906%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9300;Imóvel;R$ 402.422,40;R$ 197.564,00;135;R$ 3.063,07;HS;-;R$ 5.748,89;R$ 227,43;R$ 67.821,17;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209300%29%20com%20Cr%C3%A9dito%20de%20R%24%20402.422%2C40%20e%20Entrada%20de%20R%24%20197.564%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9370;Imóvel;R$ 401.773,26;R$ 196.868,00;182;R$ 2.603,95;HS;-;R$ 5.739,62;R$ 260,66;R$ 52.917,58;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209370%29%20com%20Cr%C3%A9dito%20de%20R%24%20401.773%2C26%20e%20Entrada%20de%20R%24%20196.868%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
3805;Veículo;R$ 400.513,00;R$ 196.900,00;76;R$ 5.021,90;hs;-;R$ 5.721,61;R$ 335,86;R$ 99.645,83;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Ve%C3%ADculo%20%28ID%3A%203805%29%20com%20Cr%C3%A9dito%20de%20R%24%20400.513%2C00%20e%20Entrada%20de%20R%24%20196.900%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9252;Imóvel;R$ 400.496,79;R$ 196.250,00;193;R$ 2.547,73;HS;-;R$ 5.721,38;R$ 270,44;R$ 36.308,44;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209252%29%20com%20Cr%C3%A9dito%20de%20R%24%20400.496%2C79%20e%20Entrada%20de%20R%24%20196.250%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9146;Imóvel;R$ 400.007,64;R$ 193.530,00;129;R$ 3.739,06;HS;-;R$ 5.714,39;R$ 265,29;R$ 33.220,62;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209146%29%20com%20Cr%C3%A9dito%20de%20R%24%20400.007%2C64%20e%20Entrada%20de%20R%24%20193.530%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
3642;Veículo;R$ 389.039,72;R$ 176.900,00;82;R$ 5.300,00;HS;-;R$ 5.557,71;R$ 382,45;R$ 14.000,00;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Ve%C3%ADculo%20%28ID%3A%203642%29%20com%20Cr%C3%A9dito%20de%20R%24%20389.039%2C72%20e%20Entrada%20de%20R%24%20176.900%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9063;Imóvel;R$ 386.819,74;R$ 188.490,00;203;R$ 2.419,38;HS;-;R$ 5.526,00;R$ 270,12;R$ 15.564,03;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209063%29%20com%20Cr%C3%A9dito%20de%20R%24%20386.819%2C74%20e%20Entrada%20de%20R%24%20188.490%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9439;Imóvel;R$ 386.424,37;R$ 188.462,00;205;R$ 2.388,35;HS;-;R$ 5.520,35;R$ 269,29;R$ 16.770,00;Disponível;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209439%29%20com%20Cr%C3%A9dito%20de%20R%24%20386.424%2C37%20e%20Entrada%20de%20R%24%20188.462%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9022;Imóvel;R$ 386.338,31;R$ 188.550,00;204;R$ 2.392,03;HS;-;R$ 5.519,12;R$ 268,39;R$ 18.435,65;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209022%29%20com%20Cr%C3%A9dito%20de%20R%24%20386.338%2C31%20e%20Entrada%20de%20R%24%20188.550%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9359;Imóvel;R$ 384.299,75;R$ 185.657,00;133;R$ 2.970,58;HS;-;R$ 5.490,00;R$ 217,30;R$ 91.991,76;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209359%29%20com%20Cr%C3%A9dito%20de%20R%24%20384.299%2C75%20e%20Entrada%20de%20R%24%20185.657%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
3536;Imóvel;R$ 382.311,00;R$ 204.900,00;30;R$ 13.773,74;HS;-;R$ 5.461,59;R$ 227,27;R$ 69.475,00;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%203536%29%20com%20Cr%C3%A9dito%20de%20R%24%20382.311%2C00%20e%20Entrada%20de%20R%24%20204.900%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9241;Imóvel;R$ 376.152,15;R$ 187.940,00;44;R$ 6.437,75;HS;-;R$ 5.373,60;R$ 155,79;R$ 125.531,97;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209241%29%20com%20Cr%C3%A9dito%20de%20R%24%20376.152%2C15%20e%20Entrada%20de%20R%24%20187.940%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9062;Imóvel;R$ 365.328,08;R$ 176.530,00;212;R$ 2.202,19;HS;-;R$ 5.218,97;R$ 256,78;R$ 8.385,13;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209062%29%20com%20Cr%C3%A9dito%20de%20R%24%20365.328%2C08%20e%20Entrada%20de%20R%24%20176.530%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9413;Imóvel;R$ 363.360,43;R$ 178.360,00;142;R$ 2.817,95;HS;-;R$ 5.190,86;R$ 220,08;R$ 38.964,43;Disponível;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209413%29%20com%20Cr%C3%A9dito%20de%20R%24%20363.360%2C43%20e%20Entrada%20de%20R%24%20178.360%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9211;Imóvel;R$ 356.630,78;R$ 172.640,00;213;R$ 2.172,17;HS;-;R$ 5.094,73;R$ 254,47;R$ 4.192,50;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209211%29%20com%20Cr%C3%A9dito%20de%20R%24%20356.630%2C78%20e%20Entrada%20de%20R%24%20172.640%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9172;Imóvel;R$ 355.260,49;R$ 172.415,00;212;R$ 2.169,09;HS;-;R$ 5.075,15;R$ 252,92;R$ 7.017,50;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209172%29%20com%20Cr%C3%A9dito%20de%20R%24%20355.260%2C49%20e%20Entrada%20de%20R%24%20172.415%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
3559;Imóvel;R$ 354.596,82;R$ 169.900,00;130;R$ 2.608,32;HS;-;R$ 5.065,67;R$ 186,49;R$ 68.599,40;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%203559%29%20com%20Cr%C3%A9dito%20de%20R%24%20354.596%2C82%20e%20Entrada%20de%20R%24%20169.900%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
6076;Imóvel;R$ 351.855,45;R$ 172.410,00;217;R$ 2.144,96;HS;-;R$ 5.026,51;R$ 256,00;R$ 1.397,50;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%206076%29%20com%20Cr%C3%A9dito%20de%20R%24%20351.855%2C45%20e%20Entrada%20de%20R%24%20172.410%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9242;Imóvel;R$ 351.267,84;R$ 172.540,00;161;R$ 2.425,65;HS;-;R$ 5.018,11;R$ 214,79;R$ 36.119,20;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209242%29%20com%20Cr%C3%A9dito%20de%20R%24%20351.267%2C84%20e%20Entrada%20de%20R%24%20172.540%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9372;Imóvel;R$ 347.583,75;R$ 191.172,00;71;R$ 3.229,62;HS;-;R$ 4.965,48;R$ 126,12;R$ 172.247,79;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209372%29%20com%20Cr%C3%A9dito%20de%20R%24%20347.583%2C75%20e%20Entrada%20de%20R%24%20191.172%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9325;Imóvel;R$ 344.536,30;R$ 171.070,00;58;R$ 5.056,16;HS;-;R$ 4.921,95;R$ 161,29;R$ 110.593,46;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209325%29%20com%20Cr%C3%A9dito%20de%20R%24%20344.536%2C30%20e%20Entrada%20de%20R%24%20171.070%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9395;Imóvel;R$ 333.189,12;R$ 161.136,42;125;R$ 2.772,82;HS;-;R$ 4.759,84;R$ 190,63;R$ 73.423,11;Disponível;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209395%29%20com%20Cr%C3%A9dito%20de%20R%24%20333.189%2C12%20e%20Entrada%20de%20R%24%20161.136%2C42.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9087;Imóvel;R$ 327.685,95;R$ 160.480,00;168;R$ 2.208,07;HS;-;R$ 4.681,23;R$ 204,03;R$ 24.039,36;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209087%29%20com%20Cr%C3%A9dito%20de%20R%24%20327.685%2C95%20e%20Entrada%20de%20R%24%20160.480%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9318;Imóvel;R$ 319.980,11;R$ 157.226,00;179;R$ 2.172,32;HS;-;R$ 4.571,14;R$ 213,86;R$ 2.986,78;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209318%29%20com%20Cr%C3%A9dito%20de%20R%24%20319.980%2C11%20e%20Entrada%20de%20R%24%20157.226%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9094;Imóvel;R$ 319.840,81;R$ 155.460,00;126;R$ 2.691,22;HS;-;R$ 4.569,15;R$ 186,50;R$ 40.654,96;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209094%29%20com%20Cr%C3%A9dito%20de%20R%24%20319.840%2C81%20e%20Entrada%20de%20R%24%20155.460%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
